media   media   robot   robot   robot   side/   ret    size     status/
 ID     type    type      #     slot    face    level  KBytes    multiplexed
----------------------------------------------------------------------------
7year_backup pool

RNT874	HCART3  NONE	  -	   -	  -	 13 4049830415	 FULL/MPX
RNT884	HCART3  NONE	  -	   -	  -	 13 4336202008	 FULL/MPX
RNT931	HCART3  NONE	  -	   -	  -	 13 3070596789	 FULL/MPX
1262L5	HCART3  NONE	  -	   -	  -	 13  510868927	ACTIVE/MPX
1288L5	HCART3  NONE	  -	   -	  -	 13 2151236380	ACTIVE/MPX
RC0023	HCART3  NONE	  -	   -	  -	 13   43869651	ACTIVE/MPX
RC0285	HCART3  NONE	  -	   -	  -	 13  159966239	ACTIVE/MPX
RC0329	HCART3  NONE	  -	   -	  -	 13   60840667	ACTIVE/MPX
RCA964	HCART3  NONE	  -	   -	  -	 13    9854167	ACTIVE/MPX
RCB484	HCART3  NONE	  -	   -	  -	 13  401164734	ACTIVE/MPX
RCB574	HCART3  NONE	  -	   -	  -	 13  135672234	ACTIVE/MPX
RCC005	HCART3  NONE	  -	   -	  -	 13  485878678	ACTIVE/MPX
RCC040	HCART3  NONE	  -	   -	  -	 13      18773	ACTIVE/MPX
RCC494	HCART3  NONE	  -	   -	  -	 13      83451	ACTIVE/MPX
RCC500	HCART3  NONE	  -	   -	  -	 13     120618	ACTIVE/MPX
RCC975	HCART3  NONE	  -	   -	  -	 13   11187542	ACTIVE/MPX
RCC985	HCART3  NONE	  -	   -	  -	 13    5780538	ACTIVE/MPX
RCD830	HCART3  NONE	  -	   -	  -	 13  431863284	ACTIVE/MPX
RCF049	HCART3  NONE	  -	   -	  -	 13     697877	ACTIVE/MPX
RCF664	HCART3  NONE	  -	   -	  -	 13  652968414	ACTIVE/MPX
RCF776	HCART3  NONE	  -	   -	  -	 13   55340231	ACTIVE/MPX
RCG644	HCART3  NONE	  -	   -	  -	 13   20751119	ACTIVE/MPX
RCJ448	HCART3  NONE	  -	   -	  -	 13    8614136	ACTIVE/MPX
RD0171	HCART3  NONE	  -	   -	  -	 13  212165376	ACTIVE/MPX
RD0263	HCART3  NONE	  -	   -	  -	 13   41021489	ACTIVE/MPX
RD0273	HCART3  NONE	  -	   -	  -	 13  119857227	ACTIVE/MPX
RD0677	HCART3  NONE	  -	   -	  -	 3* 1507485987	ACTIVE/MPX
RD0703	HCART3  NONE	  -	   -	  -	 13 1074483257	ACTIVE/MPX
RD0785	HCART3  NONE	  -	   -	  -	 13  514039545	ACTIVE/MPX
RG0166	HCART3  NONE	  -	   -	  -	 13 1792434009	ACTIVE/MPX
RG0518	HCART3  NONE	  -	   -	  -	 13 1866029591	ACTIVE/MPX
RG0560	HCART3  NONE	  -	   -	  -	 13   84356738	ACTIVE/MPX
RG0795	HCART3  NONE	  -	   -	  -	 13  155450635	ACTIVE/MPX
RG0907	HCART3  NONE	  -	   -	  -	 13  782552551	ACTIVE/MPX
RG0953	HCART3  NONE	  -	   -	  -	 13 1079369570	ACTIVE/MPX
RG1001	HCART3  NONE	  -	   -	  -	 13   70463189	ACTIVE/MPX
RG1044	HCART3  NONE	  -	   -	  -	 13   33832992	ACTIVE/MPX
RG1072	HCART3  NONE	  -	   -	  -	 13   66575694	ACTIVE/MPX
RG1108	HCART3  NONE	  -	   -	  -	 13  148660085	ACTIVE/MPX
RG1206	HCART3  NONE	  -	   -	  -	 13    8629623	ACTIVE/MPX
RG1233	HCART3  NONE	  -	   -	  -	 13   66183696	ACTIVE/MPX
RG1275	HCART3  NONE	  -	   -	  -	 13   20839383	ACTIVE/MPX
RGS010	HCART3  NONE	  -	   -	  -	 13  386793897	ACTIVE/MPX
RGS174	HCART3  NONE	  -	   -	  -	 13 2571822998	ACTIVE/MPX
RGS443	HCART3   TLD	  9	 157	  -	 13  297334975	ACTIVE/MPX
RGS952	HCART3   TLD	  9	  39	  -	 13  404450516	ACTIVE/MPX
RGT146	HCART3   TLD	  9	  26	  -	 13  221881233	ACTIVE/MPX
RGT170	HCART3   TLD	  9	  41	  -	 13 2050381216	ACTIVE/MPX
RGT968	HCART3   TLD	  9	  86	  -	 13   38064368	ACTIVE/MPX
RGU129	HCART3   TLD	  9	 241	  -	 13    6698569	ACTIVE/MPX
RN0049	HCART3  NONE	  -	   -	  -	 13 2221270854	ACTIVE/MPX
RN0169	HCART3  NONE	  -	   -	  -	 13   17292905	ACTIVE/MPX
RN0314	HCART3  NONE	  -	   -	  -	 13  419709891	ACTIVE/MPX
RN0365	HCART3  NONE	  -	   -	  -	 13 2125992958	ACTIVE/MPX
RN0714	HCART3  NONE	  -	   -	  -	 13  355454105	ACTIVE/MPX
RN0934	HCART3  NONE	  -	   -	  -	 13 1407483978	ACTIVE/MPX
RN1158	HCART3  NONE	  -	   -	  -	 13  388322875	ACTIVE/MPX
RN1278	HCART3  NONE	  -	   -	  -	 13  948275297	ACTIVE/MPX
RN1511	HCART3  NONE	  -	   -	  -	 13  350264526	ACTIVE/MPX
RN1585	HCART3  NONE	  -	   -	  -	 13 1236209575	ACTIVE/MPX
RN1793	HCART3  NONE	  -	   -	  -	 13  696421573	ACTIVE/MPX
RN1800	HCART3  NONE	  -	   -	  -	 13  760933171	ACTIVE/MPX
RN1844	HCART3  NONE	  -	   -	  -	 13  239315296	ACTIVE/MPX
RN1880	HCART3  NONE	  -	   -	  -	 13  163477656	ACTIVE/MPX
RN1935	HCART3  NONE	  -	   -	  -	 13  542505907	ACTIVE/MPX
RN1963	HCART3  NONE	  -	   -	  -	 13  346581800	ACTIVE/MPX
RN2030	HCART3  NONE	  -	   -	  -	 13   60386957	ACTIVE/MPX
RNR016	HCART3  NONE	  -	   -	  -	 13 1595653175	ACTIVE/MPX
RNR351	HCART3  NONE	  -	   -	  -	 13 1321172895	ACTIVE/MPX
RNR388	HCART3  NONE	  -	   -	  -	 13 2244822910	ACTIVE/MPX
RNR497	HCART3  NONE	  -	   -	  -	 13  175275875	ACTIVE/MPX
RNR524	HCART3  NONE	  -	   -	  -	 13   66637425	ACTIVE/MPX
RNR533	HCART3  NONE	  -	   -	  -	 13  123184308	ACTIVE/MPX
RNR633	HCART3  NONE	  -	   -	  -	 13 1653368577	ACTIVE/MPX
RNR755	HCART3  NONE	  -	   -	  -	 13 3048328010	ACTIVE/MPX
RNR905	HCART3  NONE	  -	   -	  -	 13 1112889274	ACTIVE/MPX
RNS210	HCART3  NONE	  -	   -	  -	 13   24319922	ACTIVE/MPX
RNS235	HCART3  NONE	  -	   -	  -	 13 1861252658	ACTIVE/MPX
RNS419	HCART3  NONE	  -	   -	  -	 13  140736950	ACTIVE/MPX
RNS487	HCART3  NONE	  -	   -	  -	 13   43694011	ACTIVE/MPX
RNS514	HCART3  NONE	  -	   -	  -	 13  431951310	ACTIVE/MPX
RNS523	HCART3  NONE	  -	   -	  -	 13 2158538946	ACTIVE/MPX
RNS572	HCART3   TLD	  8	 104	  -	 13  311531339	ACTIVE/MPX
RNS881	HCART3  NONE	  -	   -	  -	 13  447275162	ACTIVE/MPX
RNT057	HCART3   TLD	  8	 144	  -	 13  183686958	ACTIVE/MPX
RNT062	HCART3   TLD	  8	 115	  -	 13   13319708	ACTIVE/MPX
RNT095	HCART3  NONE	  -	   -	  -	 13  711557573	ACTIVE/MPX
RNT142	HCART3  NONE	  -	   -	  -	 13  618943274	ACTIVE/MPX
RNT393	HCART3   TLD	  8	 152	  -	 13 1462400803	ACTIVE/MPX
RNT446	HCART3   TLD	  8	 113	  -	 13  682928367	ACTIVE/MPX
RNT566	HCART3   TLD	  8	  20	  -	 13  583781236	ACTIVE/MPX
RNT706	HCART3   TLD	  8	 116	  -	 13     917343	ACTIVE/MPX
RNT754	HCART3   TLD	  8	 165	  -	 13 1952683253	ACTIVE/MPX
RNT772	HCART3   TLD	  8	 133	  -	 13 1761979755	ACTIVE/MPX
RNU168	HCART3   TLD	  8	 160	  -	 13     558974	ACTIVE/MPX
RCA017	HCART3  NONE	  -	   -	  -	  -          -	AVAILABLE
RCA047	HCART3  NONE	  -	   -	  -	  -          -	AVAILABLE
RC1055	HCART3  NONE	  -	   -	  -	 13  249533773	FROZEN/MPX
RG1095	HCART3  NONE	  -	   -	  -	 13 3001985840	FROZEN/MPX
RGS424	HCART3  NONE	  -	   -	  -	 13  836602578	FROZEN/MPX
RNS344	HCART3  NONE	  -	   -	  -	 13 1326922274	FROZEN/MPX
RNT361	HCART3  NONE	  -	   -	  -	 13  311294877	FROZEN/MPX
RNT456	HCART3  NONE	  -	   -	  -	 13  589752071	FROZEN/MPX
RNT881	HCART3  NONE	  -	   -	  -	 13 2846106166	FROZEN/MPX
RNT882	HCART3  NONE	  -	   -	  -	 13  321232911	FROZEN/MPX
RNT978	HCART3  NONE	  -	   -	  -	 13   49646544	FROZEN/MPX
RC0670	HCART3  NONE	  -	   -	  -	 13  679220480	FULL/SUSPENDED
RCB517	HCART3  NONE	  -	   -	  -	 13  448843483	FULL/SUSPENDED/MPX
RCC016	HCART3  NONE	  -	   -	  -	 13  417511680	FULL/SUSPENDED/MPX
RCC336	HCART3  NONE	  -	   -	  -	 13  418337762	FULL/SUSPENDED/MPX
RCE220	HCART3  NONE	  -	   -	  -	 13  381783552	FULL/SUSPENDED/MPX
RCF121	HCART3  NONE	  -	   -	  -	 13  339327488	FULL/SUSPENDED/MPX
RCG080	HCART3  NONE	  -	   -	  -	 13  415906816	FULL/SUSPENDED/MPX
RCG755	HCART3  NONE	  -	   -	  -	 13  334932992	FULL/SUSPENDED/MPX
RCG940	HCART3  NONE	  -	   -	  -	 13  408564992	FULL/SUSPENDED/MPX
RCH774	HCART3  NONE	  -	   -	  -	 13  470007507	FULL/SUSPENDED/MPX
RCI246	HCART3  NONE	  -	   -	  -	 13  393481472	FULL/SUSPENDED/MPX
